Time, C, R, AVG
0.01, -5.01722E-07, -1.103674E-06, -8.077143E-07
0.0101, -4.961222E-07, -1.08187E-06, -7.938772E-07
0.0102, -4.830332E-07, -1.068058E-06, -7.804206E-07
0.0103, -4.775246E-07, -1.054532E-06, -7.708366E-07
0.0104, -4.656498E-07, -1.029652E-06, -7.523511E-07
0.0105, -4.706046E-07, -1.000032E-06, -7.397304E-07
0.0106, -4.867589E-07, -9.835196E-07, -7.392789E-07
0.0107, -5.223002E-07, -9.689735E-07, -7.493591E-07
0.0108, -5.616353E-07, -9.526368E-07, -7.603944E-07
0.0109, -5.935041E-07, -9.198682E-07, -7.594058E-07
0.011, -6.043015E-07, -8.904974E-07, -7.497844E-07
0.0111, -5.842166E-07, -8.848243E-07, -7.370255E-07
0.0112, -5.568094E-07, -8.917817E-07, -7.27087E-07
0.0113, -5.514903E-07, -8.910992E-07, -7.241248E-07
0.0114, -5.845125E-07, -8.658457E-07, -7.275235E-07
0.0115, -6.211161E-07, -8.448559E-07, -7.348505E-07
0.0116, -6.274291E-07, -8.57956E-07, -7.446136E-07
0.0117, -6.025791E-07, -9.02724E-07, -7.551528E-07
0.0118, -5.832226E-07, -9.38421E-07, -7.637818E-07
0.0119, -5.901124E-07, -9.32814E-07, -7.643191E-07
0.012, -6.198642E-07, -8.984527E-07, -7.6148E-07
0.0121, -6.411556E-07, -8.743293E-07, -7.596856E-07
0.0122, -6.344251E-07, -8.797455E-07, -7.591297E-07
0.0123, -6.066613E-07, -9.10643E-07, -7.611853E-07
0.0124, -5.800889E-07, -9.348031E-07, -7.604019E-07
0.0125, -5.707635E-07, -9.395294E-07, -7.582195E-07
0.0126, -5.702476E-07, -9.278528E-07, -7.520302E-07
0.0127, -5.721596E-07, -9.239852E-07, -7.510043E-07
0.0128, -5.672428E-07, -9.498333E-07, -7.617263E-07
0.0129, -5.612939E-07, -9.849433E-07, -7.76649E-07
0.013, -5.560431E-07, -1.019892E-06, -7.918328E-07
0.0131, -5.588657E-07, -1.032676E-06, -7.997194E-07
0.0132, -5.669391E-07, -1.03719E-06, -8.059832E-07
0.0133, -5.776835E-07, -1.041446E-06, -8.134297E-07
0.0134, -5.855293E-07, -1.055148E-06, -8.242524E-07
0.0135, -5.93322E-07, -1.072468E-06, -8.368881E-07
0.0136, -5.994681E-07, -1.093238E-06, -8.504677E-07
0.0137, -6.092488E-07, -1.105112E-06, -8.613127E-07
0.0138, -6.167379E-07, -1.117023E-06, -8.710497E-07
0.0139, -6.312458E-07, -1.133081E-06, -8.863454E-07
0.014, -6.456777E-07, -1.16097E-06, -9.076178E-07
0.0141, -6.53994E-07, -1.187317E-06, -9.250998E-07
0.0142, -6.416638E-07, -1.199199E-06, -9.250774E-07
0.0143, -6.284687E-07, -1.205547E-06, -9.218168E-07
0.0144, -6.285144E-07, -1.216262E-06, -9.272861E-07
0.0145, -6.405485E-07, -1.237288E-06, -9.438912E-07
0.0146, -6.528408E-07, -1.260149E-06, -9.61556E-07
0.0147, -6.628338E-07, -1.278431E-06, -9.757623E-07
0.0148, -6.710288E-07, -1.282548E-06, -9.818843E-07
0.0149, -6.722049E-07, -1.274027E-06, -9.781313E-07
0.015, -6.598747E-07, -1.265918E-06, -9.679466E-07
0.0151, -6.381507E-07, -1.272317E-06, -9.605187E-07
0.0152, -6.111609E-07, -1.285645E-06, -9.540238E-07
0.0153, -5.901656E-07, -1.288815E-06, -9.453126E-07
0.0154, -5.826915E-07, -1.285843E-06, -9.401271E-07
0.0155, -5.963952E-07, -1.289271E-06, -9.486068E-07
0.0156, -6.172388E-07, -1.291678E-06, -9.600785E-07
0.0157, -6.293415E-07, -1.282071E-06, -9.611456E-07
0.0158, -6.27505E-07, -1.269404E-06, -9.538035E-07
0.0159, -6.215714E-07, -1.263855E-06, -9.480656E-07
0.016, -6.207746E-07, -1.270203E-06, -9.509009E-07
0.0161, -6.26564E-07, -1.271987E-06, -9.54654E-07
0.0162, -6.364813E-07, -1.265485E-06, -9.562247E-07
0.0163, -6.533414E-07, -1.257867E-06, -9.606417E-07
0.0164, -6.767423E-07, -1.241347E-06, -9.637496E-07
0.0165, -6.966906E-07, -1.226926E-06, -9.662267E-07
0.0166, -6.916144E-07, -1.208527E-06, -9.543782E-07
0.0167, -6.577045E-07, -1.193577E-06, -9.301064E-07
0.0168, -6.087556E-07, -1.181196E-06, -8.997462E-07
0.0169, -5.643973E-07, -1.152192E-06, -8.63193E-07
0.017, -5.296527E-07, -1.110895E-06, -8.251178E-07
0.0171, -4.99878E-07, -1.055332E-06, -7.822336E-07
0.0172, -4.652473E-07, -9.843927E-07, -7.291462E-07
0.0173, -4.323313E-07, -9.078027E-07, -6.740293E-07
0.0174, -3.942936E-07, -8.463018E-07, -6.240645E-07
0.0175, -3.58904E-07, -8.128725E-07, -5.896714E-07
0.0176, -3.284695E-07, -7.929984E-07, -5.64605E-07
0.0177, -3.071935E-07, -7.708638E-07, -5.428926E-07
0.0178, -3.049628E-07, -7.666439E-07, -5.396507E-07
0.0179, -3.178847E-07, -7.864153E-07, -5.560544E-07
0.018, -3.411942E-07, -8.148027E-07, -5.819452E-07
0.0181, -3.670154E-07, -8.394912E-07, -6.071906E-07
0.0182, -3.948702E-07, -8.709388E-07, -6.368718E-07
0.0183, -4.295011E-07, -9.199194E-07, -6.787971E-07
0.0184, -4.539946E-07, -9.781766E-07, -7.204538E-07
0.0185, -4.617947E-07, -1.034217E-06, -7.527763E-07
0.0186, -4.68601E-07, -1.075044E-06, -7.768764E-07
0.0187, -4.844368E-07, -1.101847E-06, -7.982868E-07
0.0188, -4.962435E-07, -1.110426E-06, -8.084529E-07
0.0189, -4.831014E-07, -1.113149E-06, -8.033754E-07
0.019, -4.466343E-07, -1.110184E-06, -7.839386E-07
0.0191, -3.993093E-07, -1.092203E-06, -7.515304E-07
0.0192, -3.515442E-07, -1.062649E-06, -7.130225E-07
0.0193, -3.080661E-07, -1.020053E-06, -6.699929E-07
0.0194, -2.577058E-07, -9.816481E-07, -6.257098E-07
0.0195, -1.899315E-07, -9.473748E-07, -5.749652E-07
0.0196, -1.252682E-07, -9.192223E-07, -5.288616E-07
0.0197, -8.894555E-08, -8.794962E-07, -4.908088E-07
0.0198, -7.685073E-08, -8.43601E-07, -4.666155E-07
0.0199, -6.504405E-08, -8.219068E-07, -4.497826E-07
0.02, -4.432164E-08, -8.226993E-07, -4.39997E-07
0.0201, -2.743844E-08, -8.264643E-07, -4.336099E-07
0.0202, -2.52685E-08, -8.268533E-07, -4.327408E-07
0.0203, -3.431303E-08, -8.297376E-07, -4.386538E-07
0.0204, -5.081676E-08, -8.527821E-07, -4.584825E-07
0.0205, -7.54469E-08, -8.914661E-07, -4.902566E-07
0.0206, -1.100854E-07, -9.4634E-07, -5.351815E-07
0.0207, -1.539732E-07, -1.016765E-06, -5.925591E-07
0.0208, -1.993632E-07, -1.091799E-06, -6.530182E-07
0.0209, -2.325144E-07, -1.150108E-06, -6.989577E-07
0.021, -2.552551E-07, -1.180609E-06, -7.256433E-07
0.0211, -2.650813E-07, -1.211374E-06, -7.461135E-07
0.0212, -2.789061E-07, -1.249023E-06, -7.72049E-07
0.0213, -2.866381E-07, -1.280464E-06, -7.918327E-07
0.0214, -2.909251E-07, -1.292133E-06, -7.998723E-07
0.0215, -2.778819E-07, -1.299134E-06, -7.970184E-07
0.0216, -2.439416E-07, -1.293828E-06, -7.776338E-07
0.0217, -1.991206E-07, -1.27264E-06, -7.448264E-07
0.0218, -1.701958E-07, -1.238514E-06, -7.132575E-07
