time	90 dBSPL	84 dBSPL	78  dBSPL	72  dBSPL	66  dBSPL	60  dBSPL	54  dBSPL	48  dBSPL	42  dBSPL	36  dBSPL	30  dBSPL	24  dBSPL	18 dBSPL
0.000000000000	0.0000000000	-0.0000034055	-0.0000051761	-0.0000065887	-0.0000065828	-0.0000116472	-0.0000120151	-0.0000139394	-0.0000144320	-0.0000167857	-0.0000194952	-0.0000222012	-0.0000220236
0.000010240000	-0.0000000085	-0.0000034017	-0.0000051642	-0.0000065650	-0.0000065819	-0.0000116440	-0.0000120213	-0.0000139413	-0.0000144384	-0.0000167638	-0.0000194975	-0.0000222011	-0.0000220212
0.000020480000	-0.0000000164	-0.0000033979	-0.0000051524	-0.0000065405	-0.0000065814	-0.0000116406	-0.0000120268	-0.0000139429	-0.0000144452	-0.0000167415	-0.0000194992	-0.0000222006	-0.0000220188
0.000030720000	-0.0000000236	-0.0000033943	-0.0000051407	-0.0000065155	-0.0000065814	-0.0000116372	-0.0000120318	-0.0000139438	-0.0000144525	-0.0000167190	-0.0000195001	-0.0000221995	-0.0000220166
0.000040960000	-0.0000000301	-0.0000033906	-0.0000051290	-0.0000064902	-0.0000065819	-0.0000116337	-0.0000120364	-0.0000139440	-0.0000144602	-0.0000166967	-0.0000195005	-0.0000221980	-0.0000220148
0.000051200000	-0.0000000360	-0.0000033869	-0.0000051172	-0.0000064649	-0.0000065829	-0.0000116304	-0.0000120407	-0.0000139433	-0.0000144683	-0.0000166748	-0.0000195003	-0.0000221959	-0.0000220132
0.000061440000	-0.0000000412	-0.0000033832	-0.0000051054	-0.0000064399	-0.0000065844	-0.0000116272	-0.0000120445	-0.0000139414	-0.0000144768	-0.0000166535	-0.0000194996	-0.0000221932	-0.0000220121
0.000071680000	-0.0000000459	-0.0000033792	-0.0000050934	-0.0000064153	-0.0000065867	-0.0000116243	-0.0000120478	-0.0000139384	-0.0000144855	-0.0000166329	-0.0000194984	-0.0000221897	-0.0000220114
0.000081920000	-0.0000000499	-0.0000033751	-0.0000050815	-0.0000063916	-0.0000065896	-0.0000116216	-0.0000120505	-0.0000139342	-0.0000144945	-0.0000166135	-0.0000194969	-0.0000221853	-0.0000220110
0.000092160000	-0.0000000532	-0.0000033706	-0.0000050695	-0.0000063690	-0.0000065933	-0.0000116192	-0.0000120525	-0.0000139288	-0.0000145036	-0.0000165951	-0.0000194951	-0.0000221801	-0.0000220110
0.000102400000	-0.0000000559	-0.0000033657	-0.0000050575	-0.0000063477	-0.0000065977	-0.0000116172	-0.0000120536	-0.0000139222	-0.0000145129	-0.0000165780	-0.0000194930	-0.0000221739	-0.0000220113
0.000112640000	-0.0000000580	-0.0000033603	-0.0000050456	-0.0000063280	-0.0000066028	-0.0000116156	-0.0000120538	-0.0000139145	-0.0000145223	-0.0000165622	-0.0000194909	-0.0000221667	-0.0000220118
0.000122880000	-0.0000000594	-0.0000033543	-0.0000050337	-0.0000063099	-0.0000066084	-0.0000116142	-0.0000120531	-0.0000139060	-0.0000145318	-0.0000165477	-0.0000194887	-0.0000221585	-0.0000220125
0.000133120000	-0.0000000602	-0.0000033476	-0.0000050219	-0.0000062935	-0.0000066147	-0.0000116132	-0.0000120514	-0.0000138966	-0.0000145413	-0.0000165345	-0.0000194866	-0.0000221493	-0.0000220132
0.000143360000	-0.0000000604	-0.0000033403	-0.0000050100	-0.0000062789	-0.0000066215	-0.0000116123	-0.0000120490	-0.0000138866	-0.0000145507	-0.0000165226	-0.0000194847	-0.0000221390	-0.0000220139
0.000153600000	-0.0000000600	-0.0000033323	-0.0000049980	-0.0000062662	-0.0000066287	-0.0000116116	-0.0000120461	-0.0000138762	-0.0000145600	-0.0000165120	-0.0000194832	-0.0000221279	-0.0000220145
0.000163840000	-0.0000000591	-0.0000033235	-0.0000049859	-0.0000062552	-0.0000066364	-0.0000116111	-0.0000120428	-0.0000138655	-0.0000145692	-0.0000165026	-0.0000194823	-0.0000221159	-0.0000220151
0.000174080000	-0.0000000575	-0.0000033140	-0.0000049736	-0.0000062460	-0.0000066444	-0.0000116106	-0.0000120395	-0.0000138547	-0.0000145783	-0.0000164944	-0.0000194820	-0.0000221033	-0.0000220157
0.000184320000	-0.0000000555	-0.0000033037	-0.0000049610	-0.0000062384	-0.0000066527	-0.0000116099	-0.0000120364	-0.0000138438	-0.0000145872	-0.0000164874	-0.0000194828	-0.0000220902	-0.0000220161
0.000194560000	-0.0000000529	-0.0000032925	-0.0000049481	-0.0000062325	-0.0000066613	-0.0000116091	-0.0000120338	-0.0000138330	-0.0000145961	-0.0000164816	-0.0000194847	-0.0000220768	-0.0000220165
0.000204800000	-0.0000000499	-0.0000032805	-0.0000049348	-0.0000062281	-0.0000066701	-0.0000116081	-0.0000120321	-0.0000138222	-0.0000146050	-0.0000164768	-0.0000194879	-0.0000220633	-0.0000220168
0.000215040000	-0.0000000466	-0.0000032677	-0.0000049213	-0.0000062251	-0.0000066790	-0.0000116067	-0.0000120314	-0.0000138115	-0.0000146140	-0.0000164731	-0.0000194924	-0.0000220499	-0.0000220171
0.000225280000	-0.0000000430	-0.0000032541	-0.0000049076	-0.0000062233	-0.0000066879	-0.0000116049	-0.0000120320	-0.0000138009	-0.0000146231	-0.0000164704	-0.0000194983	-0.0000220370	-0.0000220174
0.000235520000	-0.0000000392	-0.0000032399	-0.0000048938	-0.0000062224	-0.0000066969	-0.0000116027	-0.0000120341	-0.0000137903	-0.0000146325	-0.0000164686	-0.0000195056	-0.0000220245	-0.0000220176
0.000245760000	-0.0000000353	-0.0000032252	-0.0000048802	-0.0000062223	-0.0000067059	-0.0000116000	-0.0000120378	-0.0000137798	-0.0000146422	-0.0000164678	-0.0000195142	-0.0000220128	-0.0000220177
0.000256000000	-0.0000000314	-0.0000032100	-0.0000048671	-0.0000062227	-0.0000067149	-0.0000115969	-0.0000120431	-0.0000137692	-0.0000146522	-0.0000164677	-0.0000195241	-0.0000220021	-0.0000220178
0.000266240000	-0.0000000275	-0.0000031945	-0.0000048547	-0.0000062232	-0.0000067240	-0.0000115933	-0.0000120500	-0.0000137585	-0.0000146625	-0.0000164685	-0.0000195351	-0.0000219922	-0.0000220179
0.000276480000	-0.0000000237	-0.0000031788	-0.0000048433	-0.0000062235	-0.0000067330	-0.0000115894	-0.0000120584	-0.0000137476	-0.0000146731	-0.0000164700	-0.0000195469	-0.0000219832	-0.0000220179
0.000286720000	-0.0000000200	-0.0000031632	-0.0000048332	-0.0000062235	-0.0000067421	-0.0000115852	-0.0000120681	-0.0000137366	-0.0000146840	-0.0000164722	-0.0000195595	-0.0000219751	-0.0000220180
0.000296960000	-0.0000000166	-0.0000031476	-0.0000048247	-0.0000062230	-0.0000067511	-0.0000115808	-0.0000120790	-0.0000137257	-0.0000146951	-0.0000164750	-0.0000195725	-0.0000219678	-0.0000220182
0.000307200000	-0.0000000134	-0.0000031322	-0.0000048178	-0.0000062218	-0.0000067600	-0.0000115762	-0.0000120908	-0.0000137147	-0.0000147061	-0.0000164785	-0.0000195857	-0.0000219610	-0.0000220184
0.000317440000	-0.0000000106	-0.0000031172	-0.0000048129	-0.0000062198	-0.0000067688	-0.0000115715	-0.0000121033	-0.0000137039	-0.0000147169	-0.0000164826	-0.0000195989	-0.0000219545	-0.0000220186
0.000327680000	-0.0000000082	-0.0000031024	-0.0000048098	-0.0000062170	-0.0000067777	-0.0000115669	-0.0000121162	-0.0000136933	-0.0000147272	-0.0000164873	-0.0000196120	-0.0000219482	-0.0000220189
0.000337920000	-0.0000000063	-0.0000030880	-0.0000048087	-0.0000062133	-0.0000067864	-0.0000115623	-0.0000121293	-0.0000136830	-0.0000147368	-0.0000164927	-0.0000196245	-0.0000219418	-0.0000220193
0.000348160000	-0.0000000048	-0.0000030740	-0.0000048095	-0.0000062087	-0.0000067952	-0.0000115579	-0.0000121422	-0.0000136730	-0.0000147455	-0.0000164987	-0.0000196365	-0.0000219352	-0.0000220197
